Fecha,Alimentacion Fresca SAG16,MA2:3WI116R,TPD SAG 16,Tasa Desgaste SAG16,Consumo acero SAG16,Reposicion SAG16,Variacion de nivel SAG16,Nivel bolas estimada SAG16,Alimentacion Fresca SAG17,MA2:3WI216R,TPD SAG 17,Tasa Desgaste SAG17,Consumo acero SAG17,Reposicion SAG17,Variacion de nivel SAG17,Nivel bolas estimada SAG17
2021-03-18,59102.962745345234,3601.273055555556,62704.23580090079,275,17243.664845247717,25000.0,0.4082281660395939,13.960351855001582,30476.77231874362,2092.481427734693,32569.253746478313,328,10682.715228844887,12500.0,0.09564656690290069,12.13176940418169
2021-03-19,60873.301537866,551.0033333333333,61424.30487119933,275,16891.68383957982,12500.0,-0.2311412547147273,13.737185648532469,42039.673036783934,363.1423135206435,42402.815350304576,328,13908.1234348999,50000.0,1.8995724507947422,14.037610838072998
2021-03-20,65587.0023545301,0.0,65587.0023545301,275,18036.425647495777,12500.0,-0.2913908235524093,13.44579482498006,40282.01377355307,76.86281174977621,40358.87658530285,328,13237.711519979335,12500.0,-0.03882692210417554,13.900110810824293
2021-03-21,63698.96388569892,191.0944444444445,63890.058330143365,275,17569.766040789425,0.0,-0.9247245284626013,12.523836137160732,26877.367195238472,446.1236641608343,27323.490859399306,328,8962.105001882972,0.0,-0.471689736941209,13.33612257713807
2021-03-22,62058.71135959626,222.6852777777778,62281.39663737403,275,17127.384075277856,12500.0,-0.2435465302777819,12.28351268327184,39385.95535415947,106.5027776230706,39492.45813178254,328,12953.526267224675,12500.0,-0.023869803538140808,13.214091347866264
2021-03-23,58512.52883823932,0.0,58512.52883823932,275,16090.945430515812,0.0,-0.8468918647639901,11.43662081850785,24646.41295954317,15.774135128657024,24662.187094671826,328,8089.197367052359,0.0,-0.42574722984486096,12.688616429406784
2021-03-24,51772.12092172354,9.654166666666669,51781.775088390204,275,14239.988149307306,12500.0,-0.09157832364775295,12.25,47360.91544930962,26.959373212390474,47387.87482252201,328,15543.22294178722,12500.0,-0.16016962851511685,12.428912204808176
2021-03-25,62810.02185592857,908.9377777777776,63718.95963370635,275,17522.713899269245,25000.0,0.3935413737226713,12.656697052085244,49680.73753811151,3061.7529646809894,52742.490502792505,328,17299.536884915942,25000.0,0.40528753237284515,12.787055262044989
2021-03-26,57088.92627374004,0.0,57088.92627374004,275,15699.454725278512,12500.0,-0.16839235396202695,16.03,37003.1333590178,128.3905067867703,37131.523865804564,328,12179.139827983898,12500.0,0.0168873774745317,12.706159065110366
2021-03-27,70992.56580144598,477.4311111111111,71469.9969125571,275,19654.2491509532,12500.0,-0.3765394289975369,15.660370758136969,47180.5839027689,64.56828247070311,47245.1521852396,328,15496.40991675859,12500.0,-0.1577057850925574,12.449567932473093
2021-03-28,74032.34589482412,242.055,74274.40089482411,275,20425.46024607663,12500.0,-0.41712948663561206,15.246744699132934,46395.84313431452,59.17542343139648,46455.01855774592,328,15237.24608694066,12500.0,-0.14406558352319265,12.206523903628083
